Date,Product,Category,Region,Sales,Price,Discount,Promotion,Stock_Available
2023-11-13,Smart Watch,Electronics,Chennai,1079,28859,25,Yes,1875
2024-06-27,Oil,Grocery,Hyderabad,716,7310,15,Yes,2305
2024-05-10,Wheat,Grocery,Jaipur,503,54192,5,No,2264
2024-11-02,Tablet,Electronics,Chennai,927,10031,0,Yes,2884
2024-08-02,Shoes,Fashion,Chennai,54,76661,10,No,866
2023-01-14,Shoes,Fashion,Mumbai,399,42355,20,Yes,223
2024-04-24,Mobile,Electronics,Hyderabad,817,4259,25,Yes,2268
2023-09-17,Wheat,Grocery,Delhi,254,30595,25,No,1960
2023-02-24,Smart Watch,Electronics,Kolkata,478,79502,30,No,3689
2023-09-03,Shoes,Fashion,Delhi,99,43273,25,No,2965
2024-04-07,T-Shirt,Fashion,Hyderabad,215,16287,5,Yes,3266
2023-06-09,Smart Watch,Electronics,Mumbai,620,71921,30,Yes,2054
2024-09-14,Oil,Grocery,Mumbai,327,54653,15,No,4831
2024-09-07,Wheat,Grocery,Pune,275,28406,30,No,1068
2023-07-01,Jacket,Fashion,Chennai,407,46829,10,Yes,2476
2024-06-20,Backpack,Accessories,Kolkata,342,13995,20,No,699
2024-02-23,Shoes,Fashion,Mumbai,99,46293,0,No,1820
2023-03-12,Biscuits,Grocery,Delhi,469,68746,5,Yes,1201
2024-07-18,Smart Watch,Electronics,Jaipur,457,16995,25,No,3627
2024-02-15,Tablet,Electronics,Jaipur,498,67492,5,Yes,2756
2023-03-25,Headphones,Electronics,Chennai,651,55806,15,Yes,1463
2023-07-07,Biscuits,Grocery,Jaipur,377,62409,0,No,3088
2023-09-15,Jeans,Fashion,Kolkata,452,55536,30,No,1076
2024-07-13,Mobile,Electronics,Jaipur,441,77750,10,No,3021
2023-05-21,Headphones,Electronics,Kolkata,775,22640,20,Yes,2901
2023-12-02,Oil,Grocery,Kolkata,737,20468,20,No,127
2023-04-10,Biscuits,Grocery,Pune,494,51466,20,Yes,2729
2023-07-09,Jeans,Fashion,Jaipur,582,72540,15,Yes,3083
2024-10-14,Tablet,Electronics,Lucknow,807,4177,30,Yes,1690
2023-03-31,Shoes,Fashion,Mumbai,189,40851,10,Yes,3031
2023-01-09,Mobile,Electronics,Hyderabad,229,74285,20,No,2987
2024-05-23,Laptop,Electronics,Kolkata,746,4365,20,Yes,536
2024-12-15,Shoes,Fashion,Hyderabad,460,78398,0,Yes,1844
2024-04-25,Biscuits,Grocery,Chennai,318,13662,25,No,1642
2023-08-21,T-Shirt,Fashion,Chennai,388,7114,15,No,3799
2023-01-29,Backpack,Accessories,Chennai,230,67155,10,No,998
2023-07-27,Tablet,Electronics,Bangalore,282,43545,10,No,232
2023-09-03,Shoes,Fashion,Bangalore,160,33333,10,No,1035
2024-08-15,Backpack,Accessories,Mumbai,279,46400,0,No,2459
2024-06-25,Jacket,Fashion,Mumbai,176,20715,25,No,3276
2023-11-14,Oil,Grocery,Mumbai,519,60626,30,Yes,2883
2023-11-18,Laptop,Electronics,Bangalore,880,76861,30,Yes,1785
2023-10-31,Biscuits,Grocery,Jaipur,636,37498,10,No,2147
2023-01-10,Milk,Grocery,Hyderabad,428,70517,20,Yes,2937
2024-08-15,Jacket,Fashion,Jaipur,329,78003,30,Yes,4447
2024-07-15,Biscuits,Grocery,Bangalore,601,28014,10,Yes,3405
2024-10-17,Jacket,Fashion,Mumbai,339,18439,30,No,4481
2024-01-29,Tablet,Electronics,Lucknow,396,13541,25,Yes,1225
2024-03-08,Backpack,Accessories,Chennai,466,65383,20,No,3010
2023-08-28,Shoes,Fashion,Delhi,453,43075,10,Yes,2728
2024-08-06,Mobile,Electronics,Jaipur,710,67363,10,No,4169
2023-10-02,Jacket,Fashion,Lucknow,665,29282,10,No,2646
2023-08-28,Smart Watch,Electronics,Ahmedabad,236,21540,0,No,1300
2023-09-29,Headphones,Electronics,Kolkata,545,21756,30,No,4811
2024-07-04,Jacket,Fashion,Lucknow,118,50928,20,No,1079
2024-12-28,Milk,Grocery,Ahmedabad,628,56083,10,Yes,4616
2023-04-12,Oil,Grocery,Jaipur,269,75664,5,No,648
2023-01-12,Jeans,Fashion,Mumbai,393,15271,0,Yes,3273
2024-06-18,Laptop,Electronics,Bangalore,318,30219,15,No,950
2023-05-04,Headphones,Electronics,Ahmedabad,362,72237,15,Yes,1006
2023-05-22,Smart Watch,Electronics,Ahmedabad,465,15738,0,Yes,1422
2024-05-04,Headphones,Electronics,Pune,281,31675,20,No,1263
2023-08-05,Jeans,Fashion,Pune,343,26441,20,Yes,1714
2024-02-19,Tablet,Electronics,Pune,730,42937,5,No,4693
2024-06-04,Backpack,Accessories,Delhi,414,58974,0,Yes,152
2023-11-03,T-Shirt,Fashion,Mumbai,348,14001,15,No,783
2024-07-28,Smart Watch,Electronics,Hyderabad,892,54646,0,Yes,2240
2024-09-20,Tablet,Electronics,Chennai,636,18353,0,Yes,4331
2024-07-19,Biscuits,Grocery,Hyderabad,360,69327,5,Yes,3488
2024-09-20,Rice,Grocery,Lucknow,682,29934,5,Yes,4650
2023-12-20,Shoes,Fashion,Hyderabad,498,36498,25,No,2887
2023-05-15,Laptop,Electronics,Bangalore,672,31899,5,Yes,2940
2023-09-12,Smart Watch,Electronics,Kolkata,654,62771,5,Yes,4338
2024-09-30,Shoes,Fashion,Pune,626,71045,20,Yes,4978
2024-08-06,Jacket,Fashion,Bangalore,196,62337,30,Yes,2184
2024-01-21,Mobile,Electronics,Pune,259,37956,0,No,4201
2024-07-03,Wheat,Grocery,Jaipur,540,57940,25,Yes,3851
2023-12-27,Jacket,Fashion,Delhi,507,43977,10,No,3855
2024-03-15,Headphones,Electronics,Bangalore,550,36598,25,No,3032
2023-08-08,Milk,Grocery,Kolkata,278,28471,20,Yes,4990
2023-10-16,Jeans,Fashion,Chennai,473,13134,5,No,2059
2024-12-29,Jacket,Fashion,Mumbai,366,29156,0,Yes,4448
2023-05-30,Smart Watch,Electronics,Bangalore,734,74754,10,Yes,428
2023-10-16,Oil,Grocery,Mumbai,749,8182,20,Yes,3687
2023-02-28,Jeans,Fashion,Hyderabad,636,13344,30,Yes,2152
2023-05-06,Oil,Grocery,Pune,176,28733,5,No,705
2023-06-02,Headphones,Electronics,Kolkata,623,75594,25,Yes,421
2024-01-16,Smart Watch,Electronics,Hyderabad,460,16253,5,No,4434
2024-06-09,Mobile,Electronics,Delhi,740,51134,10,No,1369
2023-03-08,Oil,Grocery,Kolkata,701,1448,15,Yes,1205
2024-01-05,Oil,Grocery,Jaipur,562,6203,5,No,855
2024-02-02,Laptop,Electronics,Bangalore,529,26756,10,Yes,3683
2023-05-24,Backpack,Accessories,Chennai,453,63722,0,Yes,3533
2024-10-20,Smart Watch,Electronics,Mumbai,1222,35812,20,Yes,4982
2024-08-08,Milk,Grocery,Lucknow,363,21686,30,Yes,997
2024-04-17,Biscuits,Grocery,Pune,632,25596,20,Yes,4479
2024-08-15,Shoes,Fashion,Jaipur,364,29661,0,Yes,1257
2024-02-24,Mobile,Electronics,Bangalore,721,42625,25,Yes,2715
2024-09-02,Oil,Grocery,Lucknow,434,12320,10,No,4199
2024-07-29,Biscuits,Grocery,Bangalore,306,57706,5,Yes,3396
2023-01-07,Wheat,Grocery,Ahmedabad,526,36124,15,No,3824
2024-06-21,Milk,Grocery,Bangalore,512,44583,5,Yes,2537
2024-08-15,Backpack,Accessories,Ahmedabad,433,62040,15,Yes,4627
2024-06-24,Tablet,Electronics,Pune,538,58894,30,Yes,3387
2024-12-14,Biscuits,Grocery,Chennai,831,78909,15,Yes,1972
2024-10-13,Smart Watch,Electronics,Bangalore,708,55075,15,No,606
2024-04-18,Tablet,Electronics,Hyderabad,605,10632,20,No,3504
2024-09-30,Mobile,Electronics,Delhi,777,12633,20,Yes,2407
2024-03-23,Milk,Grocery,Bangalore,441,18487,30,Yes,3452
2024-05-03,Tablet,Electronics,Bangalore,792,79048,25,No,1960
2023-09-24,T-Shirt,Fashion,Mumbai,302,40448,10,Yes,2060
2024-09-03,Smart Watch,Electronics,Delhi,735,27461,20,No,357
2023-03-09,Mobile,Electronics,Chennai,923,43224,30,Yes,2732
2024-01-31,Backpack,Accessories,Hyderabad,128,71926,10,No,1412
2023-10-06,Backpack,Accessories,Kolkata,601,18760,5,No,471
2023-08-24,T-Shirt,Fashion,Kolkata,257,40929,15,Yes,4733
2023-03-16,Smart Watch,Electronics,Jaipur,585,14856,0,Yes,1512
2024-05-20,Smart Watch,Electronics,Jaipur,550,1904,15,No,4993
2024-09-14,Shoes,Fashion,Pune,427,25527,20,Yes,3737
2023-09-22,Shoes,Fashion,Kolkata,264,60284,20,Yes,2777
2023-09-16,Shoes,Fashion,Jaipur,250,514,25,Yes,1321
2024-12-19,Biscuits,Grocery,Kolkata,471,55362,10,Yes,2603
2024-09-28,Jacket,Fashion,Chennai,70,46027,0,No,1683
2023-03-08,Oil,Grocery,Pune,560,30521,5,No,729
2023-02-15,Laptop,Electronics,Ahmedabad,664,75249,10,Yes,867
2023-06-20,Biscuits,Grocery,Kolkata,362,53951,30,Yes,1444
2023-01-31,Tablet,Electronics,Jaipur,234,18692,15,No,2249
2023-03-01,Jacket,Fashion,Mumbai,305,43861,20,Yes,1239
2024-01-24,Tablet,Electronics,Pune,691,66182,20,Yes,300
2024-06-15,Backpack,Accessories,Jaipur,130,1851,15,No,3603
2023-02-20,Oil,Grocery,Hyderabad,159,63848,15,No,2908
2024-08-27,Oil,Grocery,Bangalore,664,15848,30,Yes,2480
2024-12-10,Milk,Grocery,Jaipur,325,13169,20,No,2746
2024-09-09,Jeans,Fashion,Hyderabad,148,3231,15,No,857
2024-02-21,Oil,Grocery,Bangalore,495,49537,20,No,3915
2024-10-11,Wheat,Grocery,Delhi,767,60291,30,Yes,4943
2024-05-20,Mobile,Electronics,Chennai,401,65556,25,No,2885
2023-08-13,Milk,Grocery,Jaipur,315,42336,10,No,221
2024-09-12,Rice,Grocery,Chennai,617,67302,10,Yes,4116
2023-12-08,Jacket,Fashion,Ahmedabad,559,49469,30,No,3281
2024-03-05,Jeans,Fashion,Chennai,259,50999,25,No,353
2023-02-03,Wheat,Grocery,Kolkata,678,49769,10,Yes,258
2023-11-22,Smart Watch,Electronics,Jaipur,702,12054,5,No,3044
2023-12-23,Rice,Grocery,Pune,677,42156,0,Yes,1066
2023-10-16,Tablet,Electronics,Pune,716,21098,0,Yes,3546
2023-10-08,Wheat,Grocery,Kolkata,588,22457,5,No,4074
2024-01-05,Shoes,Fashion,Delhi,322,76397,30,No,186
2024-12-05,Smart Watch,Electronics,Delhi,872,66421,0,No,4750
2024-08-16,Jeans,Fashion,Pune,174,25771,15,Yes,2662
2023-06-24,Jacket,Fashion,Kolkata,144,33357,0,No,2831
2024-10-19,Wheat,Grocery,Ahmedabad,640,35131,5,No,526
2023-05-26,Rice,Grocery,Lucknow,380,30575,0,No,3562
2024-11-29,Rice,Grocery,Ahmedabad,442,40265,10,No,4272
2024-01-09,Shoes,Fashion,Hyderabad,218,41981,5,No,4989
2024-11-26,T-Shirt,Fashion,Pune,759,3425,0,Yes,2157
2023-09-09,Oil,Grocery,Kolkata,447,47761,10,No,3240
2024-12-23,Milk,Grocery,Lucknow,451,54832,10,Yes,877
2024-03-23,Rice,Grocery,Lucknow,374,21862,10,No,3772
2024-09-07,Smart Watch,Electronics,Hyderabad,928,74932,5,Yes,4653
2024-08-26,Wheat,Grocery,Delhi,278,27293,0,No,288
2023-11-06,Backpack,Accessories,Bangalore,280,9176,15,Yes,4521
2023-10-19,Mobile,Electronics,Lucknow,677,28729,25,Yes,1316
2023-01-20,Milk,Grocery,Ahmedabad,690,69489,0,Yes,1049
2024-05-17,Wheat,Grocery,Jaipur,225,64571,25,No,4243
2024-04-24,Smart Watch,Electronics,Ahmedabad,803,57551,10,No,1402
2023-10-03,Mobile,Electronics,Delhi,1009,27695,10,Yes,4876
2024-07-04,T-Shirt,Fashion,Pune,250,30815,15,Yes,132
2023-06-14,Rice,Grocery,Lucknow,474,23898,15,No,4156
2023-01-11,Milk,Grocery,Pune,429,50078,5,No,2118
2023-05-02,Jacket,Fashion,Pune,330,8993,25,Yes,4634
2024-08-28,Milk,Grocery,Ahmedabad,516,23505,20,Yes,2345
2023-01-19,Backpack,Accessories,Mumbai,91,63590,30,No,3480
2023-08-31,Oil,Grocery,Pune,689,69613,25,Yes,1406
2023-08-21,Headphones,Electronics,Kolkata,534,46769,0,No,1301
2023-03-05,Jeans,Fashion,Bangalore,221,64332,10,Yes,968
2023-06-21,Oil,Grocery,Mumbai,654,16008,10,Yes,3448
2024-05-24,Milk,Grocery,Lucknow,511,57119,10,Yes,3092
2023-11-29,Backpack,Accessories,Chennai,433,18883,20,Yes,1243
2024-02-11,Headphones,Electronics,Mumbai,792,46488,20,Yes,3967
2024-08-02,Oil,Grocery,Ahmedabad,372,79818,30,Yes,784
2024-07-25,Laptop,Electronics,Jaipur,588,36110,25,No,3667
2023-12-09,Wheat,Grocery,Delhi,698,67904,0,No,3924
2024-03-31,Wheat,Grocery,Chennai,403,23949,25,No,2417
2023-09-01,Tablet,Electronics,Kolkata,744,33229,15,No,834
2024-05-04,Mobile,Electronics,Pune,751,52652,30,No,1481
2024-01-16,Smart Watch,Electronics,Lucknow,613,39708,20,No,2759
2023-08-29,Backpack,Accessories,Delhi,248,76804,15,No,3592
2023-11-19,Jacket,Fashion,Hyderabad,606,72154,15,Yes,4388
2023-11-07,Jeans,Fashion,Hyderabad,704,35862,10,Yes,1424
2024-04-15,Rice,Grocery,Jaipur,475,27643,30,No,2942
2024-04-27,Mobile,Electronics,Ahmedabad,199,57079,0,No,1783
2023-11-17,Smart Watch,Electronics,Jaipur,1095,21735,0,Yes,4423
2023-03-25,Milk,Grocery,Kolkata,623,79757,5,Yes,2000
2023-06-13,Tablet,Electronics,Ahmedabad,704,21628,15,Yes,3633
2023-04-27,Milk,Grocery,Bangalore,353,51798,0,Yes,1775
2024-05-23,Mobile,Electronics,Chennai,622,58412,0,Yes,1556
2023-03-23,Wheat,Grocery,Hyderabad,578,53233,25,No,313
2024-10-31,Backpack,Accessories,Mumbai,626,60015,30,Yes,1999
2023-03-15,Headphones,Electronics,Hyderabad,830,25850,30,Yes,3863
2024-03-17,Headphones,Electronics,Hyderabad,246,9904,20,No,2037
2024-10-08,Tablet,Electronics,Hyderabad,958,68164,10,Yes,2397
2023-04-23,Oil,Grocery,Lucknow,603,68612,25,Yes,1247
2024-01-21,Shoes,Fashion,Chennai,306,20871,30,No,3318
2023-06-10,Tablet,Electronics,Chennai,571,32822,30,No,3676
2023-02-11,Jacket,Fashion,Bangalore,257,7304,10,No,3101
2023-10-22,Smart Watch,Electronics,Mumbai,954,73708,30,Yes,806
2023-03-23,Backpack,Accessories,Hyderabad,208,190,20,No,2630
2023-07-31,Wheat,Grocery,Lucknow,325,25020,10,Yes,2866
2023-07-14,Jacket,Fashion,Bangalore,414,60787,20,No,407
2023-11-03,Laptop,Electronics,Jaipur,1256,74021,5,Yes,260
2024-03-15,Shoes,Fashion,Kolkata,211,61641,25,Yes,1811
2023-03-21,Laptop,Electronics,Chennai,509,24345,20,No,1775
2024-12-11,Jacket,Fashion,Hyderabad,578,33795,5,Yes,1731
2024-02-25,T-Shirt,Fashion,Kolkata,465,10249,25,No,4232
2024-07-16,Wheat,Grocery,Kolkata,385,51390,0,Yes,4477
2024-03-09,T-Shirt,Fashion,Ahmedabad,468,77258,20,Yes,3645
2023-04-27,Shoes,Fashion,Mumbai,289,63226,25,No,4612
2024-12-06,Laptop,Electronics,Jaipur,803,3748,25,Yes,203
2024-01-27,Shoes,Fashion,Jaipur,62,21826,25,No,4356
2023-11-09,Laptop,Electronics,Chennai,949,28849,30,No,4711
2023-06-16,Shoes,Fashion,Ahmedabad,197,58871,20,No,3594
2024-01-24,Smart Watch,Electronics,Ahmedabad,847,18013,0,Yes,752
2024-06-12,Shoes,Fashion,Kolkata,540,14889,0,Yes,184
2023-04-23,Tablet,Electronics,Lucknow,736,74320,5,No,366
2023-06-06,Mobile,Electronics,Mumbai,684,2407,25,Yes,1859
2024-02-28,Shoes,Fashion,Ahmedabad,481,13267,10,Yes,520
2023-04-09,Rice,Grocery,Ahmedabad,348,55845,25,No,4719
2024-05-13,Tablet,Electronics,Ahmedabad,620,26634,30,No,228
2023-01-02,Jeans,Fashion,Bangalore,601,47943,10,Yes,1952
2023-04-07,Mobile,Electronics,Hyderabad,719,77566,20,No,1043
2023-04-16,Milk,Grocery,Pune,526,74057,10,No,706
2023-09-15,Mobile,Electronics,Chennai,765,16765,30,Yes,313
2024-07-14,Rice,Grocery,Ahmedabad,465,59063,30,Yes,956
2023-09-27,Milk,Grocery,Lucknow,240,55028,25,No,3729
2024-09-09,Headphones,Electronics,Lucknow,624,10911,30,No,639
2024-05-06,Laptop,Electronics,Lucknow,684,66820,20,No,1095
2023-09-02,Wheat,Grocery,Kolkata,180,48535,30,No,3077
2024-11-07,Smart Watch,Electronics,Hyderabad,928,57017,5,Yes,3738
2024-12-01,Headphones,Electronics,Pune,703,13752,0,Yes,4989
2023-06-14,Wheat,Grocery,Delhi,393,38634,20,Yes,2099
2024-01-09,Tablet,Electronics,Chennai,349,51021,0,No,4529
2024-02-20,Oil,Grocery,Hyderabad,251,57643,5,No,3962
2024-11-17,Tablet,Electronics,Mumbai,732,52803,15,No,1087
2023-10-29,Laptop,Electronics,Delhi,610,1677,30,No,1067
2024-05-05,Jacket,Fashion,Ahmedabad,136,47066,0,No,289
2024-12-10,Wheat,Grocery,Pune,592,55616,15,No,2809
2023-05-27,Smart Watch,Electronics,Mumbai,779,34256,20,Yes,3058
2023-01-16,Headphones,Electronics,Lucknow,929,33330,20,Yes,4478
2024-11-17,Rice,Grocery,Bangalore,875,7227,25,Yes,4869
2024-11-25,Milk,Grocery,Kolkata,727,37214,30,No,4196
2024-07-12,Tablet,Electronics,Kolkata,919,2190,20,Yes,2454
2024-12-23,Headphones,Electronics,Bangalore,907,20779,20,Yes,3295
2023-09-26,Wheat,Grocery,Mumbai,276,42614,0,Yes,285
2024-03-04,Rice,Grocery,Hyderabad,233,42781,5,No,4055
2023-11-28,Jeans,Fashion,Chennai,545,38600,15,Yes,1088
2024-01-28,Milk,Grocery,Delhi,321,71809,25,Yes,2691
2023-02-11,Tablet,Electronics,Hyderabad,396,55018,20,No,661
2023-09-12,Laptop,Electronics,Bangalore,714,39522,25,Yes,4135
2024-12-10,T-Shirt,Fashion,Ahmedabad,756,32931,20,Yes,1825
2024-01-26,Oil,Grocery,Lucknow,634,6045,10,Yes,1166
2024-08-22,Jeans,Fashion,Bangalore,623,21153,30,Yes,195
2023-03-01,Rice,Grocery,Lucknow,444,16417,20,Yes,1446
2024-06-27,Tablet,Electronics,Hyderabad,399,38503,30,Yes,4268
2024-06-01,Milk,Grocery,Ahmedabad,366,66059,5,No,1549
2023-09-17,Headphones,Electronics,Hyderabad,648,18817,0,Yes,741
2023-01-30,Headphones,Electronics,Mumbai,452,64661,0,Yes,1846
2023-10-07,Shoes,Fashion,Mumbai,623,15525,30,No,1463
2024-08-26,T-Shirt,Fashion,Delhi,397,37727,20,Yes,3632
2024-01-13,Headphones,Electronics,Ahmedabad,825,22624,25,No,1946
2023-03-06,Headphones,Electronics,Chennai,406,49121,30,Yes,377
2024-12-05,Mobile,Electronics,Ahmedabad,736,36753,20,Yes,4890
2024-04-26,Jacket,Fashion,Ahmedabad,379,70251,10,No,1604
2024-08-04,Jeans,Fashion,Kolkata,427,60955,10,No,3481
2024-06-18,Tablet,Electronics,Delhi,484,28358,10,No,1901
2023-03-23,Jeans,Fashion,Bangalore,128,500,15,No,2671
2024-12-24,Milk,Grocery,Lucknow,758,78274,20,No,4466
2024-06-27,Wheat,Grocery,Chennai,441,17409,25,No,1081
2024-02-17,T-Shirt,Fashion,Jaipur,110,27633,30,No,388
2024-04-19,T-Shirt,Fashion,Jaipur,261,1631,5,No,3828
2023-02-17,Shoes,Fashion,Kolkata,355,37192,15,Yes,3716
2023-04-01,Oil,Grocery,Hyderabad,479,53747,25,No,3578
2023-01-17,Shoes,Fashion,Chennai,290,77788,10,Yes,4048
2024-03-08,Wheat,Grocery,Hyderabad,482,2819,25,Yes,2034
2024-12-17,Wheat,Grocery,Mumbai,676,8387,25,No,3226
2024-11-03,Laptop,Electronics,Mumbai,803,31056,5,Yes,247
2023-11-20,Smart Watch,Electronics,Hyderabad,439,15280,5,No,1600
2023-04-16,Headphones,Electronics,Delhi,1020,79202,10,Yes,1201
2024-02-17,Smart Watch,Electronics,Bangalore,763,72383,30,Yes,871
2023-09-17,Smart Watch,Electronics,Ahmedabad,217,15378,15,No,1571
2024-01-08,Oil,Grocery,Delhi,395,77010,25,Yes,2149
2023-03-18,Wheat,Grocery,Mumbai,473,53161,0,No,4954
2023-12-24,Mobile,Electronics,Delhi,947,58731,25,Yes,1155
2024-11-30,Wheat,Grocery,Ahmedabad,395,28411,10,No,2081
2023-03-12,Backpack,Accessories,Lucknow,224,12225,25,Yes,1327
2024-03-19,Biscuits,Grocery,Hyderabad,573,57773,25,Yes,1848
